ID,ApplicationId,IncidentNumber,CreatedOn,Priority,ScheduleTypeId,Title,Detail,CreatedBy
35,5,IN52001,5/20/2023,4,3,Request for cancellation of an Order,User requested to cancel the Order MAL-2022-230 as it was not to be taken by Malaysia,Naina
36,5,IN52002,5/30/2023,1,3,Application not working,Application throwing internal server error to the user when he tries to open.,Hari
37,5,IN52003,5/22/2023,2,1,Details sheet download link not working,User trying to download shipment details excel sheet but link not working.,Ram
38,5,IN52004,5/24/2023,3,1,User access issue,Joana has requested for access to raw materials in item master,Shiva
39,5,IN52005,5/4/2023,1,2,User access issue,Joana has requested for access to raw materials in item master,Mohan
40,5,IN52006,5/25/2023,4,2,Request for cancellation of an Order,User requested to cancel the Order MAL-2022-230 as it was not to be taken by Malaysia,Gauri
41,5,IN52007,5/13/2023,1,2,Updating Order details for CHA-2022-156,User requested to update the inquiry status to 'Transit to Requestor' and shipment details.,Kartik
42,4,INCHE20001,5/22/2023,3,1,Updating Order details for CHA-2022-150,User requested to update the inquiry status to 'Transit to Requestor' and shipment details.,Naina
43,4,INCHE20002,5/24/2023,4,1,Request for cancellation of an Order,User requested to cancel the Order MAL-2022-230 as it was not to be taken by Malaysia,Hari
44,4,INCHE20003,5/4/2023,3,2,User access issue,Joana has requested for access to raw materials in item master,Ram
45,4,INCHE20004,5/15/2023,1,1,Application not working,Application throwing internal server error to the user when he tries to open.,Shiva
46,4,INCHE20005,5/20/2023,2,1,Database clean up,Please perform database clean up ,Mohan
47,4,INCHE20006,5/30/2023,4,3,Request for cancellation of an Order,User requested to cancel the Order MAL-2022-230 as it was not to be taken by Malaysia,Gauri
48,4,INCHE20007,5/22/2023,3,2,Details sheet download link not working,User trying to download shipment details excel sheet but link not working.,Kartik
49,4,INCHE20008,5/24/2023,4,1,Request for cancellation of an Order,User requested to cancel the Order MAL-2022-230 as it was not to be taken by Malaysia,Naina
50,4,INCHE20009,5/4/2023,3,2,User access issue,Joana has requested for access to raw materials in item master,Hari
51,4,INCHE20010,5/25/2023,3,1,User access issue,Joana has requested for access to raw materials in item master,Ram
52,6,INCMR2001,5/20/2023,3,2,Details sheet download link not working,User trying to download shipment details excel sheet but link not working.,Shiva
53,6,INCMR2002,5/30/2023,4,2,Request for cancellation of an Order,User requested to cancel the Order MAL-2022-230 as it was not to be taken by Malaysia,Mohan
54,6,INCMR2003,5/22/2023,3,2,User access issue,Joana has requested for access to raw materials in item master,Gauri
55,6,INCMR2004,5/24/2023,4,2,Request for cancellation of an Order,User requested to cancel the Order MAL-2022-230 as it was not to be taken by Malaysia,Kartik
